bz    buzzer ........................ 0x006.3   on=0,off=1
cc    connection time till connect .. 0x54f:2   s, time interval
cd    this computer's date .......... -0006.6   yyyy-mm-dd
cn    connection type ............... 0x54d:1   cable=0,lost=3,wireless=15,unknown-X
ct    this computer's time .......... -0018.6   hh:mm:ss
cw    this computer's date time ..... -0012.12  yyyy-mm-dd hh:mm:ss
dp    dew point ..................... 0x3ce:4   C, temperature
dph   dew point max ................. 0x3d8:4   C, temperature
dpha  dew point max alarm ........... 0x3f6:4   C, temperature
dphs  dew point max alarm set ....... 0x01c.3   off=0,on=1
dphv  dew point max alarm active .... 0x023.3   inactive=0,active=1
dphw  dew point max when ............ 0x3e6:10  yyyy-mm-dd hh:mm
dpl   dew point min ................. 0x3d3:4   C, temperature
dpla  dew point min alarm ........... 0x3f1:4   C, temperature
dpls  dew point min alarm set ....... 0x01c.2   off=0,on=1
dplv  dew point min alarm active .... 0x023.2   inactive=0,active=1
dplw  dew point min when ............ 0x3dc:10  yyyy-mm-dd hh:mm
for   forecast ...................... 0x26b:1   rainy=0,cloudy=1,sunny=2,unknown-X
hc    history time till sample ...... 0x6b5:3   min, time interval
hi    history interval .............. 0x6b2:3   min, time interval
hn    history number of records ..... 0x6c4:2   record number
hp    history last record pointer ... 0x6c2:2   record number
hw    history last sample when ...... 0x6b8:10  yyyy-mm-dd hh:mm
ih    in humidity ................... 0x3fb:2   %, humidity
ihh   in humidity max ............... 0x3ff:2   %, humidity
ihha  in humidity max alarm ......... 0x417:2   %, humidity
ihhs  in humidity max alarm set ..... 0x01d.3   off=0,on=1
ihhv  in humidity max alarm active .. 0x024.3   inactive=0,active=1
ihhw  in humidity max when .......... 0x40b:10  yyyy-mm-dd hh:mm
ihl   in humidity min ............... 0x3fd:2   %, humidity
ihla  in humidity min alarm ......... 0x415:2   %, humidity
ihls  in humidity min alarm set ..... 0x01d.2   off=0,on=1
ihlv  in humidity min alarm active .. 0x024.2   inactive=0,active=1
ihlw  in humidity min when .......... 0x401:10  yyyy-mm-dd hh:mm
it    in temp ....................... 0x346:4   C, temperature
ith   in temp max ................... 0x350:4   C, temperature
itha  in temp max alarm ............. 0x36e:4   C, temperature
iths  in temp max alarm set ......... 0x01b.1   off=0,on=1
ithv  in temp max alarm active ...... 0x022.1   inactive=0,active=1
ithw  in temp max when .............. 0x35e:10  yyyy-mm-dd hh:mm
itl   in temp min ................... 0x34b:4   C, temperature
itla  in temp min alarm ............. 0x369:4   C, temperature
itls  in temp min alarm set ......... 0x01b.0   off=0,on=1
itlv  in temp min alarm active ...... 0x022.0   inactive=0,active=1
itlw  in temp min when .............. 0x354:10  yyyy-mm-dd hh:mm
lb    lcd backlight ................. 0x016.0   off=0,on=1
lc    lcd contrast (ro) ............. 0x266:1   contrast
oh    out humidity .................. 0x419:2   %, humidity
ohh   out humidity max .............. 0x41d:2   %, humidity
ohha  out humidity max alarm ........ 0x435:2   %, humidity
ohhs  out humidity max alarm set .... 0x01d.1   off=0,on=1
